Participant_Name_PrimaryOrganization,Participant_Name_SubordinateOrganization,Participant_ID,Org_Level,Type,Sub_Type,City,ZIP_Code,Delaying_Exchange_until_2026,Request_for_Information,Information_Delivery,Requests_for_Notifications_of_ADT_Events,Own_Technology_URL,Own_Technology_Email,Own_Technology_Phone,Date_DSA_Terminated,Date_Operations_Ceased
Advanced Imaging of South Bay Inc.,none identified,DXF001460,Primary,Ancillary Care,Imaging/radiology center,Torrance,90503,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Advanced Integrative Rehabilitation DBA Fyzical Therapy & Balance Center,none identified,DXF005201,Primary,Ancillary Care,Other ancillary care provider,Capitola,95010,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Advanced Medical and Kidney Institute,none identified,DXF000821,Primary,Ambulatory Care Settings,Physician practice,Apple Valley,92307,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Advanced Medical Associates, Inc.",none identified,DXF005058,Primary,Ambulatory Care Settings,Independent practice associations,Orange,92868,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
ADVANCED ONCOLOGY SOUTH BAY LLC,none identified,DXF003843,Primary,Ambulatory Care Settings,Physician practice,Redondo Beach,90277,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Advanced Orthopaedic Surgery Center,none identified,DXF001820,Primary,Ambulatory Care Settings,Physician practice,Temecula,92591,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Adventist Health Reedley Childrens,none identified,DXF005541,Primary,Ambulatory Care Settings,Rural health center (RHC),Reedley,93654,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Adventist Health System/West,none identified,DXF003240,Primary,Acute Care Settings,Other acute care setting,Roseville,95661,No,CommonWell Health Alliance,CommonWell Health Alliance,Manifest MedEx,NA,NA,NA,NA,NA
Adventist Health System/West,"Adventist Health Clearlake Hospital, Inc.",DXF003245,Sub,Acute Care Settings,General acute care hospital,Clearlake,95422,No,CommonWell Health Alliance,CommonWell Health Alliance,Manifest MedEx,NA,NA,NA,NA,NA
Adventist Health System/West,Adventist Health Delano,DXF003246,Sub,Acute Care Settings,General acute care hospital,Delano,93215,No,CommonWell Health Alliance,CommonWell Health Alliance,Manifest MedEx,NA,NA,NA,NA,NA
Adventist Health System/West,Adventist Health Medical Center Tehachapi,DXF003247,Sub,Acute Care Settings,General acute care hospital,Tehachapi,93561,No,CommonWell Health Alliance,CommonWell Health Alliance,Manifest MedEx,NA,NA,NA,NA,NA
Adventist Health System/West,Adventist Health Mendocino Coast,DXF003248,Sub,Acute Care Settings,General acute care hospital,Fort Bragg,95437,No,CommonWell Health Alliance,CommonWell Health Alliance,Manifest MedEx,NA,NA,NA,NA,NA
Adventist Health System/West,Adventist Health Physicians Network,DXF003249,Sub,Ambulatory Care Settings,Medical group,Roseville,95661,No,CommonWell Health Alliance,CommonWell Health Alliance,Manifest MedEx,NA,NA,NA,NA,NA
Adventist Health System/West,Adventist Health Tulare,DXF003250,Sub,Acute Care Settings,General acute care hospital,tulare,93274,No,CommonWell Health Alliance,CommonWell Health Alliance,Manifest MedEx,NA,NA,NA,NA,NA
Adventist Health System/West,Glendale Adventist Medical Center,DXF003251,Sub,Acute Care Settings,General acute care hospital,Glendale,91206,No,CommonWell Health Alliance,CommonWell Health Alliance,Manifest MedEx,NA,NA,NA,NA,NA
Adventist Health System/West,Hanford Community Hospital,DXF003252,Sub,Acute Care Settings,General acute care hospital,Hanford,93230,No,CommonWell Health Alliance,CommonWell Health Alliance,Manifest MedEx,NA,NA,NA,NA,NA
Adventist Health System/West,"Lodi Memorial Hospital Association, Inc.",DXF003253,Sub,Acute Care Settings,General acute care hospital,Lodi,95240,No,CommonWell Health Alliance,CommonWell Health Alliance,Manifest MedEx,NA,NA,NA,NA,NA
Adventist Health System/West,Reedley Community Hospital,DXF003254,Sub,Acute Care Settings,General acute care hospital,Reedley,93654,No,CommonWell Health Alliance,CommonWell Health Alliance,Manifest MedEx,NA,NA,NA,NA,NA
Adventist Health System/West,Rideout Memorial Hospital,DXF003255,Sub,Acute Care Settings,General acute care hospital,Marysville,95901,No,CommonWell Health Alliance,CommonWell Health Alliance,Manifest MedEx,NA,NA,NA,NA,NA
Adventist Health System/West,San Joaquin Community Hospital,DXF003256,Sub,Acute Care Settings,General acute care hospital,Bakersfield,93302,No,CommonWell Health Alliance,CommonWell Health Alliance,Manifest MedEx,NA,NA,NA,NA,NA
Adventist Health System/West,Simi Valley Hospital and Health Care Services,DXF003257,Sub,Acute Care Settings,General acute care hospital,SIMI VALLEY,93065,No,CommonWell Health Alliance,CommonWell Health Alliance,Manifest MedEx,NA,NA,NA,NA,NA
Adventist Health System/West,Sonora Community Hospital,DXF003258,Sub,Acute Care Settings,General acute care hospital,Sonora,95370,No,CommonWell Health Alliance,CommonWell Health Alliance,Manifest MedEx,NA,NA,NA,NA,NA
Adventist Health System/West,St. Helena Hospital,DXF003259,Sub,Acute Care Settings,General acute care hospital,St. Helena,94574,No,CommonWell Health Alliance,CommonWell Health Alliance,Manifest MedEx,NA,NA,NA,NA,NA
Adventist Health System/West,Ukiah Adventist Hospital,DXF003260,Sub,Acute Care Settings,General acute care hospital,Ukiah,95482,No,CommonWell Health Alliance,CommonWell Health Alliance,Manifest MedEx,NA,NA,NA,NA,NA
Adventist Health System/West,White Memorial Medical Center,DXF003261,Sub,Acute Care Settings,General acute care hospital,Los Angeles,90033,No,CommonWell Health Alliance,CommonWell Health Alliance,Manifest MedEx,NA,NA,NA,NA,NA
Adventist Health System/West,"Willits Hospital, Inc.",DXF003262,Sub,Acute Care Settings,General acute care hospital,Willits,95490,No,CommonWell Health Alliance,CommonWell Health Alliance,Manifest MedEx,NA,NA,NA,NA,NA
Aetna,none identified,DXF001865,Primary,Plans,Health care service plans and disability insurer,Concord,94520,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Aetna,none identified,DXF001948,Primary,Plans,Health care service plans and disability insurer,Louisville,40241,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Aetna Medicaid Administrators, LLC/Aetna Better Health of California",none identified,DXF000017,Primary,Plans,Health care service plans and disability insurer,Phoenix,85040,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Aetna Medicaid Administrators, LLC/Aetna Better Health of California",Aetna Better Health Of California,DXF000428,Sub,Plans,Health care service plans and disability insurer,San Diego,92131,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Affiliates in Dermatology Medical Group, Inc.",none identified,DXF000869,Primary,Ambulatory Care Settings,Medical group,Oakland,94609,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Affinity Home Health Care Services, INC.",none identified,DXF005408,Primary,Ancillary Care,Other ancillary care provider,Riverside,92506,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Affordable Living for the Aging,none identified,DXF000189,Primary,Community-Based Organizations,Continuum of Care organization (CoC),West Hollywood,90046,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Afrouz Gerayli MD INC,none identified,DXF000230,Primary,Ambulatory Care Settings,not selected,Camarillo,93010,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"AG Murrieta SNF, LLC",none identified,DXF005174,Primary,Subacute Care Facility,Skilled nursing facility,Murrieta,92562,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Agoura-West Valley Pediatric Medical Group,none identified,DXF004005,Primary,Community-Based Organizations,Other community-based service provider,West Hills,91307,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"AGSE,LLC.",none identified,DXF004682,Primary,Subacute Care Facility,Skilled nursing facility,Greenbrae,94904,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Ahmad Hajj, MD INC",none identified,DXF004419,Primary,Ambulatory Care Settings,Physician practice,Santa Ana,92707,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,none identified,DXF002493,Primary,Intermediaries,Other intermediary,Alhambra,91801,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Garfield Medical Center,DXF002513,Sub,Acute Care Settings,General acute care hospital,Monterey Park,91754,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Garfield Medical Center Laboratory,DXF002536,Sub,Ancillary Care,Clinical laboratory,Monterey Park,91754,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Greater El Monte Community Hospital,DXF002537,Sub,Acute Care Settings,General acute care hospital,South El Monte,91733,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Greater El Monte Community Hospital SNF,DXF002538,Sub,Subacute Care Facility,Skilled nursing facility,South El Monte,91733,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Greater El Monte Community Hospital Laboratory,DXF002539,Sub,Ancillary Care,Clinical laboratory,South El Monte,91733,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Greater El Monte Community Hospital Cardiopulmonary Laboratory,DXF002540,Sub,Ancillary Care,Clinical laboratory,South El Monte,91733,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Monterey Park Hospital,DXF002541,Sub,Acute Care Settings,General acute care hospital,Monterey Park,91754,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Monterey Park Hospital Laboratory,DXF002542,Sub,Ancillary Care,Clinical laboratory,Monterey Park,91754,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Whittier Hospital Medical Center,DXF002543,Sub,Acute Care Settings,General acute care hospital,Whittier,90605,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Whittier Hospital Medical Center SNF,DXF002544,Sub,Subacute Care Facility,Skilled nursing facility,Whittier,90605,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Whittier Hospital Medical Center Laboratory,DXF002545,Sub,Ancillary Care,Clinical laboratory,Whittier,90605,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Whittier Hospital Medical Center Cardiorespiratory Laboratory,DXF002546,Sub,Ancillary Care,Clinical laboratory,Whittier,90605,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Whittier Hospital Medical Center Women's Health Center,DXF002547,Sub,Ancillary Care,Other ancillary care provider,Whittier,90605,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Anaheim Regional Medical Center,DXF002548,Sub,Acute Care Settings,General acute care hospital,Anaheim,92801,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Anaheim Regional Medical Center Laboratory,DXF002549,Sub,Ancillary Care,Clinical laboratory,Anaheim,92801,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Anaheim Regional Medical Center Blood Gas Laboratory,DXF002550,Sub,Ancillary Care,Clinical laboratory,Anaheim,92801,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Doctors Hospital of Riverside,DXF002551,Sub,Acute Care Settings,General acute care hospital,Riverside,92503,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Doctors Hospital of Riverside Laboratory,DXF002552,Sub,Ancillary Care,Clinical laboratory,Riverside,92503,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Seton Medical Center,DXF002553,Sub,Acute Care Settings,General acute care hospital,DALY CITY,94015,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Seton Medical Center Acute Psychiatric Hospital,DXF002554,Sub,Acute Care Settings,Psychiatric hospital,DALY CITY,94015,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Seton Medical Center SNF,DXF002555,Sub,Subacute Care Facility,Skilled nursing facility,DALY CITY,94015,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,San Gabriel Valley Medical Center,DXF002556,Sub,Acute Care Settings,General acute care hospital,San Gabriel,91776,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,San Gabriel Valley Medical Center Acute Psychiatric Hospital,DXF002557,Sub,Acute Care Settings,Psychiatric hospital,San Gabriel,91776,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,San Gabriel Valley Medical Center SNF,DXF002558,Sub,Subacute Care Facility,Skilled nursing facility,San Gabriel,91776,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,San Gabriel Valley Medical Center Laboratory,DXF002559,Sub,Ancillary Care,Clinical laboratory,San Gabriel,91776,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Seton Medical Center Laboratory,DXF002560,Sub,Ancillary Care,Clinical laboratory,DALY CITY,94015,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Seton Medical Center Coastside Laboratory,DXF002561,Sub,Ancillary Care,Clinical laboratory,DALY CITY,94015,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Seton Medical Center Coastside,DXF002567,Sub,Acute Care Settings,General acute care hospital,Moss Beach,94038,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Seton Medical Center Coastside SNF,DXF002568,Sub,Subacute Care Facility,Skilled nursing facility,Moss Beach,94038,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Alhambra Hospital Medical Center,DXF002569,Sub,Acute Care Settings,General acute care hospital,Alhambra,91801,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Alhambra Hospital Medical Center SNF,DXF002570,Sub,Subacute Care Facility,Skilled nursing facility,Alhambra,91801,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,Alhambra Hospital Medical Center Laboratory,DXF002571,Sub,Ancillary Care,Clinical laboratory,Alhambra,91801,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AHMC Health System,San Gabriel Valley Medical Center Respiratory Care Laboratory,DXF002574,Sub,Ancillary Care,Clinical laboratory,San Gabriel,91776,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AIDS Healthcare Foundation,none identified,DXF003209,Primary,Plans,Health care service plans and disability insurer,Los Angeles,90028,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AIDS Services Foundation of Orange County dba Radiant Health Centers,none identified,DXF004267,Primary,Community-Based Organizations,Other community-based service provider,Irvine,92614-6482,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AIMS MedCare Inc,none identified,DXF004501,Primary,Ambulatory Care Settings,Physician practice,Irvine,92602,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Akhil Sharma MD Inc,none identified,DXF000762,Primary,Ambulatory Care Settings,Physician practice,victorville,92395,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Akhil Sharma MD Inc,Radiant Pediatrics,DXF000764,Sub,Ambulatory Care Settings,Physician practice,Apple Valley,92307,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Alameda Alliance for Health,none identified,DXF001660,Primary,Plans,Health care service plans and disability insurer,Alameda,94502,No,Manifest MedEx,Manifest MedEx,Manifest MedEx,NA,NA,NA,NA,NA
Alameda County Health Care Services Agency,none identified,DXF000746,Primary,Counties,"Behavioral health plan (SMH plans, Medi-Cal RX and DMC-ODS entities)",San Leandro,94577,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Alameda County Health Care Services Agency,Alameda County Behavioral Health Care Services: MHP,DXF000747,Sub,Counties,"Behavioral health plan (SMH plans, Medi-Cal RX and DMC-ODS entities)",Oakland,94606,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Alameda County Health Care Services Agency,Alameda County Public Health Department,DXF000748,Sub,Counties,Department of public health,San Leandro,94577,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Alameda County Health Care Services Agency,Alameda County Behavioral Health Care Services: DMC-ODS,DXF002176,Sub,Counties,"Behavioral health plan (SMH plans, Medi-Cal RX and DMC-ODS entities)",Oakland,94606,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Alameda Fire Department,none identified,DXF004673,Primary,Emergency Medical Service Providers,not selected,Alameda,94501,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Alameda Health System,none identified,DXF000783,Primary,not selected,not selected,Oakland,94602-1018,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Alameda Health System,Highland Hospital,DXF000787,Sub,Acute Care Settings,General acute care hospital,Oakland,94602-1018,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Alameda Health System,Fairmont Hospital,DXF000788,Sub,Subacute Care Facility,Skilled nursing facility,San Leandro,94578-1009,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Alameda Health System,John George Psychiatric Hospital,DXF000789,Sub,Acute Care Settings,Psychiatric hospital,San Leandro,94578-1001,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Alameda Health System,San Leandro Hospital,DXF000790,Sub,Acute Care Settings,General acute care hospital,San Leandro,94578-2611,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
